rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.6025215386182243,0.8026736363357886,0.7058298629795726,0.23966701777049287,0.5798289034646735,0.7942412714750968,0.7029931972789116,9074,wbf,0.75,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
2,0.6025215386182243,0.8026736363357886,0.7058298629795726,0.23966701777049287,0.5798289034646735,0.7942412714750968,0.7029931972789116,8794,wbf,0.75,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
3,0.6024772643034015,0.8030325235506514,0.7051492064684004,0.23911448156291035,0.5800557286463156,0.794205414630563,0.7024489795918367,9070,wbf,0.74,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
4,0.6024772643034015,0.8030325235506514,0.7051492064684004,0.23911448156291035,0.5800557286463156,0.794205414630563,0.7024489795918367,8791,wbf,0.74,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
5,0.6023508513323015,0.8031312284358751,0.7042741449775961,0.23880487609142242,0.5796511215659704,0.7941287431010069,0.702517006802721,9076,wbf,0.75,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
6,0.6023508513323015,0.8031312284358751,0.7042741449775961,0.23880487609142242,0.5796511215659704,0.7941287431010069,0.702517006802721,8796,wbf,0.75,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
7,0.6022973291111354,0.8032920242869832,0.7036655797567454,0.23786873073765133,0.5798046057284731,0.7941056237994804,0.7019727891156463,9072,wbf,0.74,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
8,0.6022973291111354,0.8032920242869832,0.7036655797567454,0.23786873073765133,0.5798046057284731,0.7941056237994804,0.7019727891156463,8793,wbf,0.74,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
9,0.5961706244227077,0.7990998684721848,0.7008960531175367,0.23711759093469362,0.5763493439574473,0.7785411756221351,0.7027210884353742,9055,wbf,0.74,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
10,0.5961706244227077,0.7990998684721848,0.7008960531175367,0.23711759093469362,0.5763493439574473,0.7785411756221351,0.7027210884353742,8428,wbf,0.74,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
11,0.5961323423047366,0.7986528452422643,0.7013657202277347,0.23767614258072012,0.5760893155960658,0.7785709049365686,0.7030612244897958,9061,wbf,0.75,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
12,0.5961323423047366,0.7986528452422643,0.7013657202277347,0.23767614258072012,0.5760893155960658,0.7785709049365686,0.7030612244897958,8431,wbf,0.75,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
