rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.48690477630958673,0.640284357235298,0.5860598239689856,0.3129704946888329,0.4929094204813401,0.8354293595293504,0.5922758620689655,1452,wbf,0.76,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
2,0.4868905743295254,0.6402497089852364,0.5860468816883465,0.3133890088551521,0.49288011269631377,0.8354293595293504,0.5922758620689655,1452,wbf,0.74,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
3,0.486860811607711,0.6399559053372702,0.5860211120101763,0.3124817210978423,0.4928991778714409,0.8354293595293504,0.5926896551724139,1454,wbf,0.78,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
4,0.486860811607711,0.6399559053372702,0.5860211120101763,0.3112128587707794,0.49165618835099967,0.8354293595293504,0.5906206896551724,1409,wbf,0.78,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
5,0.4867879583960914,0.6397558829634011,0.5857926201079929,0.31191001199863966,0.4931531031430244,0.8307263892323207,0.5926896551724139,1456,wbf,0.8,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
6,0.4866419769819999,0.6411726856478939,0.5857620129664647,0.3123563806870077,0.4928615098204652,0.8354293595293504,0.5925517241379311,1448,wbf,0.7,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
7,0.4866419769819999,0.6411726856478939,0.5857620129664647,0.3110716295726457,0.4913069415227528,0.8354293595293504,0.5904827586206897,1403,wbf,0.7,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
8,0.4866396941685493,0.640284357235298,0.5860598239689856,0.3117040611721318,0.4916652583292758,0.8354293595293504,0.5902068965517242,1407,wbf,0.76,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
9,0.486625492188488,0.6402497089852364,0.5860468816883465,0.31212257533845095,0.49163595054424947,0.8354293595293504,0.5902068965517242,1407,wbf,0.74,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
10,0.4866070684909071,0.6413182300502205,0.5845087388074912,0.31269957951210897,0.4927963289905944,0.8354293595293504,0.5924137931034483,1410,wbf,0.68,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
11,0.48654290173861436,0.640298455306561,0.5860643055157375,0.3133808081678487,0.492730211398091,0.8354293595293504,0.5921379310344828,1450,wbf,0.72,0.0005,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
12,0.48654290173861436,0.640298455306561,0.5860643055157375,0.31211437465114766,0.4911756431003785,0.8354293595293504,0.5900689655172414,1406,wbf,0.72,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
13,0.48625523949079946,0.6406956413965798,0.586373545217692,0.3114558441946912,0.49217556715656763,0.836535264762731,0.5921379310344828,1451,wbf,0.76,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
14,0.4862460498562926,0.6413182300502205,0.5808985524613457,0.31134715628546694,0.49121185920361304,0.8354293595293504,0.5903448275862069,1369,wbf,0.68,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
15,0.48623259644462896,0.6406608820342274,0.5863544559942352,0.31147996199108624,0.49214751101107,0.836535264762731,0.5921379310344828,1451,wbf,0.74,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
16,0.4862050221551719,0.6397558829634011,0.5857926201079929,0.31064114967157674,0.49154138068925246,0.8307263892323207,0.5906206896551724,1410,wbf,0.8,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
17,0.48619797837444245,0.6404083318728433,0.5864595596988968,0.310532971101582,0.49212456085598816,0.836535264762731,0.5925517241379311,1454,wbf,0.78,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
18,0.48619797837444245,0.6404083318728433,0.5864595596988968,0.3092641087745191,0.49088157133554694,0.836535264762731,0.5904827586206897,1397,wbf,0.78,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
19,0.48607126810952245,0.6404379441667661,0.5867056221003744,0.30340432312533744,0.4922281572202278,0.8373291466719303,0.5922758620689657,1454,wbf,0.78,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
20,0.4860675966163357,0.6418871611324752,0.586388046400078,0.30440469548225774,0.4919654349291929,0.8373291466719303,0.5921379310344828,1408,wbf,0.68,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
21,0.4860675966163357,0.6418871611324752,0.586388046400078,0.3030522722556156,0.4906936780524444,0.8373291466719303,0.5900689655172415,1345,wbf,0.68,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
22,0.48601416527325464,0.6416681488464175,0.5860434689886416,0.310809887106425,0.4921297647647093,0.836535264762731,0.5924137931034483,1447,wbf,0.7,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
23,0.48601416527325464,0.6416681488464175,0.5860434689886416,0.3095251359920631,0.49057372822164264,0.836535264762731,0.5903448275862069,1390,wbf,0.7,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
24,0.48598997288063106,0.6406956413965798,0.586373545217692,0.31018941067799016,0.4909302301582785,0.836535264762731,0.5900689655172414,1394,wbf,0.76,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
25,0.48597753342884614,0.6416629954323592,0.5862925133324882,0.30424256226285046,0.4919359051412629,0.8373291466719303,0.5921379310344828,1445,wbf,0.7,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
26,0.48597753342884614,0.6416629954323592,0.5862925133324882,0.30295781114848847,0.49068703025377414,0.8373291466719303,0.5900689655172415,1374,wbf,0.7,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
27,0.4859702766097422,0.6417978067720889,0.5850003366871483,0.3112804449027813,0.4921013586709753,0.836535264762731,0.5922758620689655,1409,wbf,0.68,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
28,0.48596732983446067,0.6406608820342274,0.5863544559942352,0.3102135284743852,0.490902174012781,0.836535264762731,0.5900689655172414,1394,wbf,0.74,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
29,0.4859655962275392,0.6407035975467744,0.5866366020745661,0.30463620917165724,0.4921945329570725,0.8373291466719303,0.5918620689655174,1451,wbf,0.76,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
30,0.4859655962275392,0.6407035975467744,0.5866366020745661,0.30336977565495615,0.49063996465936,0.8373291466719303,0.589793103448276,1380,wbf,0.76,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
31,0.48595280850291095,0.6406834528537074,0.5866181919975472,0.30463620917165724,0.4921772122210668,0.8373291466719303,0.5918620689655174,1451,wbf,0.74,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
32,0.48595280850291095,0.6406834528537074,0.5866181919975472,0.30336977565495615,0.49062264392335425,0.8373291466719303,0.589793103448276,1380,wbf,0.74,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
33,0.48590101347738796,0.6407162263256924,0.5863663815728994,0.3114717613037829,0.49199581115329727,0.836535264762731,0.5920000000000001,1449,wbf,0.72,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
34,0.48590101347738796,0.6407162263256924,0.5863663815728994,0.3102053277870818,0.4904397746102306,0.836535264762731,0.5899310344827586,1393,wbf,0.72,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
35,0.4858892276919514,0.6407529231221557,0.5866296293821234,0.3046280084843539,0.49180622015817194,0.8373291466719303,0.5917241379310345,1449,wbf,0.72,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
36,0.4858892276919514,0.6407529231221557,0.5866296293821234,0.30336157496765276,0.49055970609277677,0.8373291466719303,0.5896551724137932,1379,wbf,0.72,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
37,0.4858065541381253,0.6404379441667661,0.5867056221003744,0.30213546079827447,0.49098516769978656,0.8373291466719303,0.5902068965517242,1383,wbf,0.78,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
38,0.4858025014473916,0.6400658614108518,0.5861151737966717,0.30975306186022555,0.4920299765357465,0.8318322944657013,0.5925517241379311,1456,wbf,0.8,0.0005,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
39,0.48560899503366034,0.6417978067720889,0.5813875209263297,0.30992802167613925,0.490515363585385,0.836535264762731,0.5902068965517242,1357,wbf,0.68,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
40,0.4855381546243598,0.6400658614108518,0.5861151737966717,0.3084841995331626,0.49078698701530526,0.8318322944657013,0.5904827586206897,1398,wbf,0.8,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
41,0.48553405483955153,0.640264971398489,0.5864421891814591,0.3032811104117302,0.49211802841100066,0.8324493729802754,0.5922758620689657,1456,wbf,0.8,0.0005,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
42,0.48553405483955153,0.640264971398489,0.5864421891814591,0.30201224808466726,0.49087503889055945,0.8324493729802754,0.5902068965517242,1383,wbf,0.8,0.001,1,1.000 1.250,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
43,0.48402862960457843,0.6359825084529119,0.583173891784478,0.31494033994393184,0.49089309801866216,0.8366788802540063,0.5928275862068966,1456,wbf,0.8,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
44,0.48393109033788045,0.6370779069141059,0.582932613910809,0.31643253181514625,0.49020785336877204,0.8366788802540063,0.5924137931034482,1450,wbf,0.7,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
45,0.48393109033788045,0.6370779069141059,0.582932613910809,0.31643253181514625,0.4889636912167078,0.8366788802540063,0.5913103448275862,1416,wbf,0.7,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
46,0.4839115868655962,0.637128953644834,0.5825835088262185,0.3164300111866128,0.49016731806411207,0.8366788802540063,0.5922758620689655,1412,wbf,0.68,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
47,0.4839115868655962,0.637128953644834,0.5825835088262185,0.3164300111866128,0.4888992297168158,0.8366788802540063,0.5911724137931034,1381,wbf,0.68,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
48,0.4838560611858867,0.6362195151438834,0.5831757540431258,0.3159344955989102,0.4904843627489325,0.8366788802540063,0.5921379310344828,1453,wbf,0.76,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
49,0.4838560611858867,0.6362195151438834,0.5831757540431258,0.3159344955989102,0.4889315500135001,0.8366788802540063,0.5910344827586207,1420,wbf,0.76,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
50,0.4838325636292467,0.6361743173227815,0.5831479629040921,0.3162734155458036,0.490452597390502,0.8366788802540063,0.5921379310344828,1453,wbf,0.74,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
51,0.4838325636292467,0.6361743173227815,0.5831479629040921,0.3162734155458036,0.48889978465506956,0.8366788802540063,0.5910344827586207,1420,wbf,0.74,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
52,0.4838108169835719,0.636082885864368,0.5834645140915053,0.31513625304577236,0.4905962940651605,0.8366788802540063,0.592551724137931,1455,wbf,0.78,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
53,0.4838108169835719,0.636082885864368,0.5834645140915053,0.31513625304577236,0.48935330454471926,0.8366788802540063,0.5914482758620689,1422,wbf,0.78,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
54,0.4837832486456644,0.6362073916485562,0.5831751243751081,0.3162652148585004,0.4900490290503677,0.8366788802540063,0.592,1452,wbf,0.72,0.0005,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
55,0.4837832486456644,0.6362073916485562,0.5831751243751081,0.3162652148585004,0.4888048668983033,0.8366788802540063,0.5908965517241379,1419,wbf,0.72,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
56,0.4837100401866907,0.6359825084529119,0.583173891784478,0.31494033994393184,0.4892813755648901,0.8366788802540063,0.5917241379310345,1422,wbf,0.8,0.001,1,1.000 1.050,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
57,0.4798723773504038,0.6310417596733516,0.576732972462359,0.314639433943904,0.4858239612017425,0.8288581253107886,0.5922758620689654,1456,wbf,0.8,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
58,0.47985015116008,0.632086265606476,0.5765381907611151,0.31725581286540755,0.48545121026842514,0.8288581253107886,0.592,1452,wbf,0.7,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
59,0.47985015116008,0.632086265606476,0.5765381907611151,0.31725581286540755,0.4842070481163609,0.8288581253107886,0.5908965517241379,1428,wbf,0.7,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
60,0.47979840177761807,0.632241345713739,0.5753763055863931,0.3176851660683474,0.4853732761096208,0.8288581253107886,0.5918620689655173,1413,wbf,0.68,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
61,0.47979840177761807,0.632241345713739,0.5753763055863931,0.3176851660683474,0.48410518776232453,0.8288581253107886,0.5907586206896551,1390,wbf,0.68,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
62,0.4796908172430504,0.6311619624586539,0.57671353149112,0.31575036852797606,0.48545023971858714,0.8288581253107886,0.5915862068965516,1453,wbf,0.76,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
63,0.4796908172430504,0.6311619624586539,0.57671353149112,0.31575036852797606,0.48420607756652284,0.8288581253107886,0.5904827586206898,1430,wbf,0.76,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
64,0.4796746609939339,0.6311105431117985,0.5767535612569997,0.3159804888176819,0.4854170807092678,0.8288581253107886,0.5915862068965516,1453,wbf,0.74,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
65,0.4796746609939339,0.6311105431117985,0.5767535612569997,0.3159804888176819,0.4841729185572036,0.8288581253107886,0.5904827586206898,1430,wbf,0.74,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
66,0.4796706126299711,0.6311022153870791,0.5767459675432972,0.3159723104751994,0.4854170807092678,0.8288581253107886,0.5915862068965516,1453,wbf,0.72,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
67,0.4796706126299711,0.6311022153870791,0.5767459675432972,0.3159723104751994,0.4841729185572036,0.8288581253107886,0.5904827586206898,1430,wbf,0.72,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
68,0.47962523412234037,0.6310418893827506,0.5766881858665949,0.31463176621783007,0.4854945895036942,0.8288581253107886,0.592,1455,wbf,0.78,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
69,0.47962523412234037,0.6310418893827506,0.5766881858665949,0.31463176621783007,0.484251599983253,0.8288581253107886,0.590896551724138,1432,wbf,0.78,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
70,0.4795550604922713,0.6302305256575921,0.576794624395336,0.31864736052983744,0.48521965533595585,0.8288581253107886,0.5929655172413794,1456,wbf,0.8,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
71,0.4795537879325161,0.6310417596733516,0.576732972462359,0.314639433943904,0.484211892519864,0.8288581253107886,0.5911724137931034,1433,wbf,0.8,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
72,0.4795323675252984,0.631237917511322,0.5762680608920018,0.32278751980606124,0.4847035996486092,0.8288581253107886,0.5925517241379311,1414,wbf,0.68,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
73,0.4795323675252984,0.631237917511322,0.5762680608920018,0.32278751980606124,0.48343551130131296,0.8288581253107886,0.591448275862069,1391,wbf,0.68,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
74,0.4795042809039205,0.6311109598095003,0.5765704531099392,0.3213700911811004,0.4848958867306499,0.8288581253107886,0.5926896551724139,1453,wbf,0.7,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
75,0.4795042809039205,0.6311109598095003,0.5765704531099392,0.3213700911811004,0.4836528972102087,0.8288581253107886,0.5915862068965517,1429,wbf,0.7,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
76,0.47935865087663837,0.63049608022671,0.5766902940917286,0.31913835625648374,0.4848982452758022,0.8288581253107886,0.5922758620689657,1454,wbf,0.76,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
77,0.47935865087663837,0.63049608022671,0.5766902940917286,0.31913835625648374,0.4836552557553611,0.8288581253107886,0.5911724137931035,1431,wbf,0.76,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
78,0.4793422358478154,0.6304655816885428,0.5767279684916319,0.31930802839611155,0.4848493971578871,0.8288581253107886,0.5922758620689657,1454,wbf,0.74,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
79,0.4793422358478154,0.6304655816885428,0.5767279684916319,0.31930802839611155,0.48360640763744595,0.8288581253107886,0.5911724137931035,1431,wbf,0.74,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
80,0.4793381699110731,0.6304572539638236,0.5767201990501339,0.3192998445732725,0.4848493971578871,0.8288581253107886,0.5922758620689657,1454,wbf,0.72,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
81,0.4793381699110731,0.6304572539638236,0.5767201990501339,0.3192998445732725,0.48360640763744595,0.8288581253107886,0.5911724137931035,1431,wbf,0.72,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
82,0.47933075907496336,0.6303659581296137,0.5770213121507035,0.31867428510015106,0.4852433745031995,0.8288581253107886,0.5926896551724138,1456,wbf,0.78,0.0005,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
83,0.47933075907496336,0.6303659581296137,0.5770213121507035,0.31867428510015106,0.48369319436355235,0.8288581253107886,0.5915862068965518,1433,wbf,0.78,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
84,0.4792364710743836,0.6302305256575921,0.576794624395336,0.31864736052983744,0.4836680152321465,0.8288581253107886,0.5918620689655173,1433,wbf,0.8,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,4
