rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.6308126078088228,0.8219297620512339,0.7532776294416912,0.2664620083735433,0.6299434389698991,0.8136854472220879,0.7116134316489497,86546,wbf,0.75,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
2,0.630798841996497,0.8222268923443106,0.7533904869670777,0.2669383829046005,0.6298991069156334,0.8135450243161871,0.7115100022112761,85752,wbf,0.7,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
3,0.6305255140458176,0.8218828120835209,0.7524299180329018,0.2659109922491515,0.6296990911008906,0.8135981793091479,0.7115980008414843,86690,wbf,0.8,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
4,0.6303183288541132,0.821607865159977,0.7525127598830336,0.2661252230152075,0.6291638518504804,0.813641849193293,0.711576274334674,85825,wbf,0.7,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
5,0.6302938278835757,0.8213910769035435,0.7519936021380276,0.2656986348780716,0.6291693113061304,0.8138875258300474,0.7115336830818356,86577,wbf,0.75,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
6,0.6301232305926806,0.8214091017115963,0.7517184681841241,0.264793676041824,0.6293991948099757,0.8131921326182012,0.7112352545480936,86701,wbf,0.85,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
7,0.6300654307865576,0.8210737040047467,0.7514426877908498,0.264706922441431,0.6291212528924568,0.8145470459161597,0.7114534152377172,86593,wbf,0.75,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
8,0.6300651693812259,0.8212296093442133,0.7514520997756574,0.26523220255017416,0.6290887385507276,0.8144487872712594,0.7114559150184379,85873,wbf,0.7,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
9,0.6299288632417657,0.8225539148805459,0.7508931973400352,0.26713557901136187,0.6292069219639445,0.8132158106138481,0.7102892996436754,74172,wbf,0.65,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
10,0.6299268812377348,0.8213598646578236,0.7509403083760495,0.26561872621587923,0.6289778138501515,0.8139984172107734,0.7114964657819957,86693,wbf,0.8,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
11,0.6298173847147955,0.8209774723283776,0.7508477531856906,0.2645071840778643,0.6288869973103249,0.813680900735625,0.7112813540631069,86701,wbf,0.85,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
12,0.6298060241208099,0.8210710927487063,0.7508893966415248,0.2644346160602171,0.6289001755638537,0.8147737365673532,0.7112167471236593,85911,wbf,0.7,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
13,0.6297926325292936,0.8211748054944324,0.7513198962951321,0.2654138294071193,0.6288163855015303,0.8141149195223379,0.7112034856127635,85892,wbf,0.7,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
14,0.6297759513536603,0.8209619910466867,0.7512923182368961,0.26490126575873735,0.6288182720253669,0.8143310778107261,0.711206900294283,86601,wbf,0.75,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
15,0.6297678715451764,0.821010355087625,0.7500947798757707,0.2647190701489543,0.6288745042645723,0.8147352942774568,0.7114336891387484,86696,wbf,0.8,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
16,0.6297543594666157,0.8208659860892685,0.7510855139036087,0.2640523550447686,0.6288537888801085,0.8149801767358539,0.7112240475638736,86606,wbf,0.75,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
17,0.6296932177249006,0.8208365082121524,0.750256342778849,0.2639961133782227,0.6287419667301711,0.8151608178547722,0.7112737243615251,86697,wbf,0.8,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
18,0.6296553827902147,0.820703905683833,0.7498205633690505,0.26360781928269134,0.6289037530619811,0.8144227955766175,0.7112206008366591,86701,wbf,0.85,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
19,0.6295244074182137,0.8205443870997189,0.7498599202073198,0.26282075407014455,0.6285170032533485,0.8148722428176716,0.7110340212922129,86701,wbf,0.85,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
20,0.629497864774889,0.8209136601644192,0.7500576481190451,0.2649045612597443,0.6286195230410377,0.8145147673441514,0.7111920313936823,86696,wbf,0.8,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
21,0.629404987360584,0.8219735956240737,0.7498640940942287,0.2668695330442393,0.6287104851792928,0.8133033987179343,0.710175822782663,74128,wbf,0.65,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
22,0.6293840601120888,0.8206018679960025,0.7497370302814504,0.2636266835798988,0.6286688390232491,0.8142113001876192,0.7109944914131172,86701,wbf,0.85,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
23,0.6293331868278899,0.8207061175963812,0.7511980924176854,0.26417319758373875,0.6283293821771352,0.81458444544864,0.710844936089904,86621,wbf,0.75,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
24,0.6293109043569184,0.8208864531319229,0.7510790111628874,0.26453888055497804,0.6283798660600585,0.8143154128721978,0.7108492982125196,85950,wbf,0.7,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
25,0.6291878719547629,0.8215746567555151,0.7495955226428438,0.26622407388474795,0.6283277985641447,0.8141906097354574,0.7100484715176436,74126,wbf,0.65,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
26,0.6291730787957036,0.8206739496042101,0.7503104602661875,0.2637767216828713,0.6282363474014101,0.814678624614738,0.7108641123616384,86698,wbf,0.8,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
27,0.6289807692429592,0.8213532820789635,0.7493556357397032,0.26597396514448646,0.6279753047939103,0.8144354587733765,0.7098269866948048,74107,wbf,0.65,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
28,0.6289384118351338,0.8204049780614228,0.7495839208542192,0.2626157042945503,0.6278727026324611,0.8142829285110453,0.7105838600875694,86701,wbf,0.85,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
29,0.6289375793648287,0.821468664557922,0.7494786168571317,0.2664915992627573,0.6280002727567867,0.8138716058361464,0.7097888667117113,74116,wbf,0.65,0.001,1,1.000 0.700,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
30,0.6288329753613211,0.8205868480674178,0.7502220661125052,0.2631816131812923,0.6279318292672469,0.814977412965339,0.710558533974345,86700,wbf,0.8,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
31,0.6287566246513832,0.8205982352602278,0.750790476627874,0.26316846589307785,0.6278686383361456,0.8149890783822239,0.7104805601049474,86628,wbf,0.75,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
32,0.6287471394962714,0.8207441287262776,0.750621403795462,0.26347352579247385,0.6279149628768885,0.8150046900281257,0.7105121331119167,85981,wbf,0.7,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
33,0.6286331263617755,0.8212272181469384,0.7494554959380981,0.2658367752103176,0.6272793828101603,0.814143291248111,0.7095104833264871,74088,wbf,0.65,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
34,0.6286190255201395,0.8202904310089054,0.7499444225591789,0.261972750040711,0.6275410784737383,0.814502034194696,0.7103236262298178,86701,wbf,0.85,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
35,0.6284804278261404,0.8196217487641231,0.7492819327459198,0.2613903978274195,0.6277916522642526,0.8129021979288609,0.7103134677541189,86697,wbf,0.9,0.001,1,1.000 0.850,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
36,0.6284012384127264,0.8198985816327539,0.7498798368283912,0.2604998247025909,0.6282755624475138,0.8123279763597848,0.7102841880721402,86697,wbf,0.9,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
37,0.6283168912995095,0.8193991973063718,0.7489853655012394,0.26137907270083327,0.6276529254197108,0.8136156418311733,0.7102814245482967,86697,wbf,0.9,0.001,1,1.000 0.750,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
38,0.6281797446854418,0.8193190074356367,0.7486566739899053,0.2611198960770662,0.6274237519826773,0.8140930191719172,0.710104963646649,86697,wbf,0.9,0.001,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
