rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.6314227195380004,0.8263312831105984,0.7564858973481037,0.272879726917066,0.6308188294087389,0.8110693440708161,0.7114048009955166,83480,wbf,0.74,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
2,0.6313470560463947,0.8268671883651624,0.7570640288062757,0.2736083887412424,0.630517720803996,0.8114617728891547,0.7113100539188685,82161,wbf,0.74,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
3,0.6312751426593185,0.8271037219903056,0.7569997776237457,0.27297531766701466,0.6306053799088867,0.811747141557366,0.7112767419879524,80869,wbf,0.74,0.001,1,1.000 1.200,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
4,0.6312668760494236,0.8264386022707864,0.756563378829986,0.2728812789031284,0.6305151531020216,0.8109074181561728,0.7109577984932934,83291,wbf,0.72,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
5,0.6312091858892888,0.8261606292261426,0.7561332438774686,0.2730477691079308,0.6305746164337258,0.811071649324767,0.7113120695591343,83602,wbf,0.76,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
6,0.6312070514091871,0.8266507337040174,0.7563047081981457,0.27316510940336264,0.6305695641749721,0.8101117461253459,0.7109842559155253,82609,wbf,0.7,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
7,0.6311756258708493,0.8269583378619718,0.7570490402833175,0.27355928269502494,0.6301559919750973,0.8111968292331758,0.7108445887761005,81981,wbf,0.72,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
8,0.6311672305462135,0.8260843943871188,0.7559850017895947,0.27361975150439344,0.6303185849468707,0.8111835653523952,0.7113194355702572,83691,wbf,0.78,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
9,0.6311612069778928,0.8267334080091183,0.7568042598450968,0.273934771283879,0.6302505280796419,0.8114634156389312,0.7111963497689829,82282,wbf,0.76,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
10,0.6311087894561397,0.8271914534576448,0.7570650008929619,0.27346549808229537,0.6302129079574715,0.8104118357813325,0.7108277250855898,81297,wbf,0.7,0.001,1,1.000 1.150,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
11,0.6310989314780732,0.8271717177895833,0.7565876149669836,0.272593212766312,0.6302212513638942,0.8115666864524419,0.7107539407574562,80696,wbf,0.72,0.001,1,1.000 1.200,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
12,0.6310800240730676,0.8269584083329932,0.7567713717922403,0.2731685788511045,0.6303542712424237,0.811749150804929,0.7111494323958901,80988,wbf,0.76,0.001,1,1.000 1.200,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
