rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.6314227195380004,0.8263312831105984,0.7564858973481037,0.272879726917066,0.6308188294087389,0.8110693440708161,0.7114048009955166,83480,wbf,0.74,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
2,0.6312724260194944,0.8262260128904756,0.7566601716733576,0.27274515935346433,0.6307171854097499,0.8110752899337029,0.7113606574030535,83550,wbf,0.75,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
3,0.6312668760494236,0.8264386022707864,0.756563378829986,0.2728812789031284,0.6305151531020216,0.8109074181561728,0.7109577984932934,83291,wbf,0.72,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
4,0.6312091858892888,0.8261606292261426,0.7561332438774686,0.2730477691079308,0.6305746164337258,0.811071649324767,0.7113120695591343,83602,wbf,0.76,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
5,0.6312070514091871,0.8266507337040174,0.7563047081981457,0.27316510940336264,0.6305695641749721,0.8101117461253459,0.7109842559155253,82609,wbf,0.7,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
6,0.6311672305462135,0.8260843943871188,0.7559850017895947,0.27361975150439344,0.6303185849468707,0.8111835653523952,0.7113194355702572,83691,wbf,0.78,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
7,0.6311116548675746,0.8259823033507273,0.7556915243274401,0.2732343407482325,0.6303474364739486,0.8100854704349344,0.7113464135431034,83723,wbf,0.8,0.001,1,1.000 1.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
8,0.6308363999513299,0.8219168984742462,0.7531670573328458,0.2663028453152647,0.6299920411322002,0.8136782758531812,0.7116196732339028,86492,wbf,0.74,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
9,0.6308126078088228,0.8219297620512339,0.7532776294416912,0.2664620083735433,0.6299434389698991,0.8136854472220879,0.7116134316489497,86546,wbf,0.75,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
10,0.6308052538131866,0.8219846725758696,0.7529142146199772,0.2667412250183563,0.629479589698647,0.8137947253833797,0.7115981597145278,85790,wbf,0.7,0.001,1,1.000 0.900,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
11,0.630798841996497,0.8222268923443106,0.7533904869670777,0.2669383829046005,0.6298991069156334,0.8135450243161871,0.7115100022112761,85752,wbf,0.7,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
