rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.6278153085027532,0.8249551260706697,0.7547729649354175,0.27637706077266366,0.6304088650755608,0.8095597251358372,0.7124133165833224,87252,wbf,0.7,0.0005,1,1.000 1.100 0.400,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
2,0.6277980881405649,0.824380425989334,0.755291674642491,0.2754524809205572,0.630374040308764,0.8105489522410962,0.712945783694914,88522,wbf,0.74,0.0005,1,1.000 1.100 0.400,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
3,0.6277396146071276,0.8249222799354501,0.7548166905854113,0.2752751186627033,0.6304466359991726,0.8099020894009082,0.7123088949188257,87020,wbf,0.7,0.0005,1,1.000 1.100 0.500,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
4,0.6277282165246229,0.8243416977242345,0.7551149031899569,0.2742145743891002,0.6303541242353582,0.8107383351814815,0.7127643399904635,88421,wbf,0.74,0.0005,1,1.000 1.100 0.500,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
5,0.6275935460689297,0.8243973143162633,0.7553005919166004,0.275321741440308,0.6298597365423843,0.8107045521628119,0.712737238867648,88617,wbf,0.74,0.0005,1,1.000 1.100 0.300,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
6,0.6275260585199861,0.825001255848514,0.7544737999903007,0.276260955148119,0.6298377818667855,0.8098037407862018,0.7122294725674518,87446,wbf,0.7,0.0005,1,1.000 1.100 0.300,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
7,0.6275048082270809,0.8241003255137367,0.7542874322349434,0.2762367642579452,0.6300557432034911,0.8104854426339284,0.7126833062228413,89002,wbf,0.78,0.0005,1,1.000 1.100 0.400,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
8,0.6274718357706326,0.8240609226152705,0.7542541737260443,0.27481624992823717,0.6300945499855836,0.8106819805678314,0.7125963179121765,88980,wbf,0.78,0.0005,1,1.000 1.100 0.500,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
9,0.6272971978446392,0.824124414003185,0.7544672861776955,0.2760577086073816,0.6295867511787273,0.8106358315573071,0.7124630935459989,89025,wbf,0.78,0.0005,1,1.000 1.100 0.300,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
10,0.6272041236768544,0.8249983013778809,0.7560266905560606,0.2749237884992849,0.6292380738644524,0.8075975733312108,0.7119382540499986,87761,wbf,0.7,0.0005,1,1.000 1.100 0.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
11,0.6271147826654857,0.8244193829671389,0.7556036911441815,0.27350375343942757,0.6294708127121235,0.8083915421836341,0.7123096388057131,88772,wbf,0.74,0.0005,1,1.000 1.100 0.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
12,0.6270939433480359,0.8244176015946947,0.7557070576865688,0.274094256218846,0.629639244394324,0.8084169428217851,0.7122781363425564,88707,wbf,0.74,0.0005,1,1.000 1.100 0.200,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
13,0.6269639408556357,0.824994942520952,0.7555625910690223,0.2752300692292507,0.6293482471888241,0.807403559649055,0.7117723934591597,87624,wbf,0.7,0.0005,1,1.000 1.100 0.200,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
14,0.6268189031783359,0.8241470728706958,0.754958203455889,0.27490102230595015,0.6292947702682516,0.8083393740422506,0.7120773655004211,89046,wbf,0.78,0.0005,1,1.000 1.100 0.200,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
15,0.6268108562627599,0.8241402623320035,0.754713245121973,0.2743750191577149,0.6291880772595627,0.8084416947854854,0.7121283020437962,89066,wbf,0.78,0.0005,1,1.000 1.100 0.100,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json | submissions\phase0_tta\rgbt_aug_domain_val.json
