rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.6236063567265407,0.8223792502688299,0.7520360039529427,0.2753143701476479,0.6264772321619348,0.8028056275688689,0.7122380967636588,88575,wbf,0.8,0.0005,1,1.000 0.400,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
2,0.6235530695068944,0.8223600156250638,0.7515037247939659,0.27513777662070277,0.6265445272728314,0.8026164061956717,0.7121153206613541,88333,wbf,0.75,0.0005,1,1.000 0.400,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
3,0.6233084720439376,0.8223247968805962,0.7523682994142649,0.27563563660589785,0.6261782982996489,0.8023053802373554,0.7121024509829708,88582,wbf,0.8,0.0005,1,1.000 0.300,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
4,0.6232810442376834,0.8223183578727292,0.7524257340070545,0.2754196136670364,0.626188211409482,0.8022596503014803,0.7120566916338734,88403,wbf,0.75,0.0005,1,1.000 0.300,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
5,0.6231942623714606,0.8223777093518555,0.7508404573514463,0.2754213569935162,0.6262798329333562,0.8018220660467573,0.7121123538672918,88598,wbf,0.8,0.0005,1,1.000 0.100,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
6,0.6231912946135724,0.8223358886490282,0.7512841523306237,0.2756663718758121,0.6261228232891461,0.8020903967719315,0.7120713058588373,88590,wbf,0.8,0.0005,1,1.000 0.200,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
7,0.6231874848313069,0.8223291147480977,0.7512429868794874,0.2754161255052554,0.6260264446344722,0.8020458497019773,0.7120058176444308,88478,wbf,0.75,0.0005,1,1.000 0.200,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
8,0.6231671047254468,0.8223781250792046,0.7507800605088454,0.2753598802824135,0.6262640226357143,0.8017798270476953,0.7120618178572786,88530,wbf,0.75,0.0005,1,1.000 0.100,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
9,0.6226592982568839,0.8222653511065384,0.750119994492919,0.2748839761536999,0.626204468438885,0.8001396335275102,0.7115527180695248,86875,wbf,0.7,0.0005,1,1.000 0.400,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
10,0.6225402435329802,0.8222041031956863,0.7511216559470093,0.2751851097193309,0.6258599125918776,0.7998957388949589,0.711452220738388,87038,wbf,0.7,0.0005,1,1.000 0.300,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
11,0.6224760101102789,0.8222183786033221,0.7502625246746261,0.27531380381371684,0.6256717099784158,0.7996497362342506,0.7113737263317823,87202,wbf,0.7,0.0005,1,1.000 0.200,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
12,0.6224411896803711,0.8221947168403693,0.74951610829114,0.2752891137342835,0.625749426270607,0.7994604935480533,0.7114886046797456,87309,wbf,0.7,0.0005,1,1.000 0.100,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
13,0.6209923244874062,0.8215912072939661,0.7466212433005577,0.27535763452077666,0.6249610236342309,0.797072316210962,0.7100785428352175,68769,wbf,0.6,0.0005,1,1.000 0.400,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
14,0.6209663954430594,0.8215080375885885,0.7478745755061115,0.27502872468353506,0.6247998729109089,0.7966790499761209,0.7099497879293475,68642,wbf,0.6,0.0005,1,1.000 0.300,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
15,0.6208301158986078,0.8215275400363032,0.7470340025451156,0.27497985260246327,0.6246393727355642,0.7963417766521822,0.7098381594733308,68584,wbf,0.6,0.0005,1,1.000 0.200,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
16,0.6205912016464428,0.8215300007289542,0.7468467873297515,0.27496658654916367,0.6245207547217982,0.7958497341413464,0.7098500966311677,68535,wbf,0.6,0.0005,1,1.000 0.100,submissions\phase0_search\yolo11m_classwise_wbf_best_val.json | submissions\phase0_search\yolo11s_classwise_wbf_best_val.json
