rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.7096014352621727,0.9696543535582574,0.8657547300868653,0.5406220596902237,0.7381954849786148,0.9999999999999998,0.758092092481057,86181,wbf,0.74,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
2,0.7095960594556782,0.9696241801271619,0.865764523348866,0.5405204084492862,0.7381971822646748,0.9999999999999998,0.7581358072663689,86270,wbf,0.75,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
3,0.7094828077586901,0.9694576774774516,0.8656865897568523,0.5398365784473362,0.7380465405897744,0.9999999999999998,0.7581309500680008,86551,wbf,0.8,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
4,0.7094815141567936,0.9696743171013782,0.8654927307602929,0.5401773426958791,0.7380959481403144,0.9999999999999998,0.7578443753642898,84949,wbf,0.7,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
5,0.7088576558311261,0.9686371769992925,0.8653452867364627,0.5335816757056598,0.7380078048338333,0.9999999999999998,0.7577423741985623,86237,wbf,0.74,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
6,0.7088510360917212,0.9686272791390919,0.8653522156287027,0.533513818641077,0.7380080442648871,0.9999999999999998,0.7577520885952982,86311,wbf,0.75,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
7,0.7087914985184444,0.9685455042642556,0.8652652293046947,0.532831126034836,0.7378710919682434,0.9999999999999998,0.7576938022148825,86560,wbf,0.8,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
8,0.7087503998655665,0.9686500049455227,0.865090114615209,0.5331300210293298,0.7379047975609092,0.9999999999999998,0.7575092286768992,85104,wbf,0.7,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
9,0.7056187846497995,0.963527759926656,0.8615176164972715,0.5010095031812508,0.735393554630136,0.9999999999999998,0.75729065475034,86422,wbf,0.75,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
10,0.7056003454915136,0.96351198309651,0.8615018776909029,0.5009553071485068,0.7353915605653739,0.9999999999999998,0.75729065475034,86366,wbf,0.74,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
11,0.7055599369730345,0.9635459476582389,0.8615087069019927,0.501143716092431,0.7353913888335384,0.9999999999999998,0.7571497959976685,86584,wbf,0.8,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
12,0.7053660059961062,0.963395061764816,0.8613564628980042,0.49983498249920366,0.7353738155865212,0.9999999999999998,0.7572323683699242,85502,wbf,0.7,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
13,0.7045512574973086,0.9634273545280045,0.861216626146874,0.4998379420498994,0.7352089018545426,0.9999999999999998,0.7567029337478143,86458,wbf,0.75,0.0005,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
14,0.704538203863121,0.9634191596118593,0.861189107940266,0.49969097534343093,0.7352060704250508,0.9999999999999998,0.7567126481445502,86417,wbf,0.74,0.0005,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
15,0.7045081793112129,0.9634568000170417,0.861247248374045,0.49983650129460794,0.735210157667108,0.9999999999999998,0.7565717893918789,86587,wbf,0.8,0.0005,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
16,0.7044662284153931,0.9633059003305943,0.8610475063862971,0.4987065703856544,0.7351926296754971,0.9999999999999998,0.7567175053429183,85638,wbf,0.7,0.0005,1,1.000 0.750,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,1
