rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.5743460663938008,0.779173565169861,0.6733635560616963,0.24279106050142366,0.5501230763195211,0.7728675434785026,0.6791836734693877,9720,wbf,0.7,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
2,0.5743460663938008,0.779173565169861,0.6733635560616963,0.24279106050142366,0.5501230763195211,0.7728675434785026,0.6791836734693877,8649,wbf,0.7,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
3,0.5742765921203549,0.778778944124407,0.6728128942924231,0.24005386073975712,0.5499863240900764,0.7730866252126432,0.6790476190476189,9872,wbf,0.75,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
4,0.5742765921203549,0.778778944124407,0.6728128942924231,0.24005386073975712,0.5499863240900764,0.7730866252126432,0.6790476190476189,8782,wbf,0.75,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
5,0.5742453128344999,0.7788235771801787,0.673055832521735,0.2388250360663928,0.5501662880738888,0.7730866252126432,0.679047619047619,9862,wbf,0.74,0.0005,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
6,0.5742453128344999,0.7788235771801787,0.673055832521735,0.2388250360663928,0.5501662880738888,0.7730866252126432,0.679047619047619,8773,wbf,0.74,0.001,1,1.000 1.250,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
7,0.5742450428390222,0.7755598649731514,0.67282514545529,0.23202921682818445,0.549962662653952,0.7722203892748223,0.6780272108843538,9785,wbf,0.7,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
8,0.5742450428390222,0.7755598649731514,0.67282514545529,0.23202921682818445,0.549962662653952,0.7722203892748223,0.6780272108843538,9505,wbf,0.7,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
9,0.5741211256384863,0.7758262605864452,0.6716434906587243,0.22721569115243356,0.5493649905177397,0.7738284214976474,0.6780272108843539,9935,wbf,0.78,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
10,0.5741211256384863,0.7758262605864452,0.6716434906587243,0.22721569115243356,0.5493649905177397,0.7738284214976474,0.6780272108843539,9648,wbf,0.78,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
11,0.5738718368108383,0.7759616256371322,0.6714029758187355,0.2274067448897359,0.5489582926193466,0.7740419821434774,0.6777551020408163,9944,wbf,0.8,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,2
