rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.6248241980314762,0.8214237928569113,0.7479782201716746,0.25957979234604633,0.623564535942013,0.8180504268120522,0.707206513464177,105018,wbf,0.75,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
2,0.6248241980314762,0.8214237928569113,0.7479782201716746,0.25957979234604633,0.623564535942013,0.8180504268120522,0.7069446374466776,98422,wbf,0.75,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
3,0.6248053628995082,0.8210566788208005,0.7480422715256041,0.2595314773794465,0.6236577701604187,0.81771002670745,0.7070263282099251,103556,wbf,0.7,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
4,0.6248053628995082,0.8210566788208005,0.7480422715256041,0.2595314773794465,0.6236577701604187,0.81771002670745,0.7067693093907935,97119,wbf,0.7,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
5,0.6247350567296654,0.82145089500407,0.7477847381991088,0.2591414813472173,0.6234961899493932,0.8184905441520074,0.7072037878833772,105351,wbf,0.8,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
6,0.6247350567296654,0.82145089500407,0.7477847381991088,0.2591414813472173,0.6234297685389882,0.8184905441520074,0.706941911865878,98655,wbf,0.8,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
7,0.6243055261714194,0.8208650504643069,0.7472570331389439,0.25836128044382584,0.6227683337802797,0.8187750439303247,0.7069284764434207,105449,wbf,0.85,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
8,0.6242796303604825,0.8208650504643069,0.7472570331389439,0.25836128044382584,0.6227020165603224,0.8187750439303247,0.7066666004259212,98674,wbf,0.85,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
9,0.6239461751817557,0.8205484565256445,0.7478326608808494,0.2594181347190947,0.6230146344973272,0.8160152059194351,0.7057418616846851,88952,wbf,0.65,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
10,0.6239461751817557,0.8205484565256445,0.7478326608808494,0.2594181347190947,0.6230146344973272,0.8160152059194351,0.7054887286242484,83828,wbf,0.65,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
11,0.6235632568233076,0.820768503582112,0.7464489483962343,0.25888898531352555,0.6226956591838475,0.8155712382882735,0.7046448199257932,79597,wbf,0.6,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
12,0.6235632568233076,0.820768503582112,0.7464489483962343,0.25888898531352555,0.6226956591838475,0.8155712382882735,0.7043916868653561,75260,wbf,0.6,0.001,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
13,0.6221505321407691,0.8167066450120485,0.7432742575030772,0.25211378994906336,0.6206231039682236,0.8157741815196232,0.7071778699693951,105380,wbf,0.8,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
14,0.6221505321407691,0.8167066450120485,0.7432742575030772,0.25211378994906336,0.6205606122061263,0.8157741815196232,0.7069257083486317,102363,wbf,0.8,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
15,0.6221176338177484,0.8165078724472818,0.7435505984895775,0.2511505400635026,0.6207117486311986,0.8149799863382361,0.7070388906876997,104033,wbf,0.7,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
16,0.6221176338177484,0.8165078724472818,0.7435505984895775,0.2511505400635026,0.6206448013188902,0.8149799863382361,0.7067867290669363,101127,wbf,0.7,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
17,0.6220909144134095,0.8164662315552861,0.7432489229736133,0.252372732023426,0.6206430372806143,0.8155913451896812,0.7071290828137616,105154,wbf,0.75,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
18,0.6220909144134095,0.8164662315552861,0.7432489229736133,0.252372732023426,0.6205765636521196,0.8155913451896812,0.7068769211929982,102178,wbf,0.75,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
19,0.6217333288366926,0.8164359862386052,0.7430652626822197,0.25258487933906326,0.6200992854904127,0.8156226623032387,0.7067464394187987,105452,wbf,0.85,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
20,0.6217333288366926,0.8164359862386052,0.7430652626822197,0.25258487933906326,0.6200368914480373,0.8156226623032387,0.7064942777980353,102398,wbf,0.85,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
21,0.6215310617512065,0.8162021363464746,0.7430017562728155,0.25122654953051243,0.6202613590995998,0.815619176747469,0.7070698355651972,105383,wbf,0.8,0.0005,1,1.000 0.800,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
22,0.6215298541633295,0.8160887901781324,0.7432203581379428,0.250228930670587,0.6203260604983044,0.8149489170779267,0.7070205841625622,104173,wbf,0.7,0.0005,1,1.000 0.800,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
23,0.6214862517479972,0.8162021363464746,0.7430017562728155,0.25122654953051243,0.620210688412437,0.815619176747469,0.7068176739444338,102366,wbf,0.8,0.001,1,1.000 0.800,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
24,0.6214848550883768,0.8160887901781324,0.7432203581379428,0.250228930670587,0.6202082809478374,0.8149489170779267,0.7067684225417991,101265,wbf,0.7,0.001,1,1.000 0.800,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
25,0.6214609122286947,0.8160315651852481,0.7430751008277474,0.25136952764863224,0.6203286324608711,0.8154300689260847,0.7070264728015426,105187,wbf,0.75,0.0005,1,1.000 0.800,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
26,0.6214527271983913,0.8158209444517011,0.743183907661577,0.2503585580355139,0.6202468442475527,0.8151038744561993,0.7069538272336046,104243,wbf,0.7,0.0005,1,1.000 0.700,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
